DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;PLATAFORMA_EDUCATIVA
CUNDINAMARCA;ZIPAQUIRA;MASCULINO;31;COURSERA
NARIÑO;PASTO;MASCULINO;40;DATACAMP
VALLE DEL CAUCA;YUMBO;MASCULINO;28;PLATZI
ANTIOQUIA;SABANETA;FEMENINO;35;MICROSOFT AZURE
ANTIOQUIA;SABANETA;MASCULINO;35;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;SABANETA;MASCULINO;31;UDACITY
META;VILLAVICENCIO;MASCULINO;24;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
RISARALDA;PEREIRA;MASCULINO;41;COURSERA
ANTIOQUIA;SABANETA;MASCULINO;28;EDX
BOGOTA;BOGOTA, D.C.;FEMENINO;52;MICROSOFT AZURE
ANTIOQUIA;GIRARDOTA;MASCULINO;30;DATACAMP
ANTIOQUIA;ENVIGADO;MASCULINO;23;PLATZI
CALDAS;MANIZALES;MASCULINO;33;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;21;EDX
MAGDALENA;CIENAGA;MASCULINO;25;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;33;PLATZI
ANTIOQUIA;BELLO;MASCULINO;33;PLATZI
CALDAS;VILLAMARIA;MASCULINO;31;COURSERA
BOYACA;TUNJA;MASCULINO;52;DATACAMP
SANTANDER;BUCARAMANGA;FEMENINO;27;DATACAMP
VALLE DEL CAUCA;TULUA;MASCULINO;21;PLATZI
META;VILLAVICENCIO;MASCULINO;38;PLATZI
CALDAS;MANIZALES;MASCULINO;34;PLATZI
SANTANDER;FLORIDABLANCA;MASCULINO;26;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;36;COURSERA
ATLANTICO;BARRANQUILLA;MASCULINO;36;COURSERA
ANTIOQUIA;MARINILLA;MASCULINO;38;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;43;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;24;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;24;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;24;MICROSOFT AZURE
ANTIOQUIA;CALDAS;MASCULINO;41;PLATZI
ATLANTICO;BARRANQUILLA;FEMENINO;25;EDX
VAUPES;MITU;FEMENINO;17;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
SANTANDER;PIEDECUESTA;MASCULINO;37;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;36;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;52;EDX
VALLE DEL CAUCA;GUADALAJARA DE BUGA;MASCULINO;42;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
ANTIOQUIA;EL CARMEN DE VIBORAL;MASCULINO;33;COURSERA
CUNDINAMARCA;MOSQUERA;MASCULINO;17;UDACITY
VALLE DEL CAUCA;CALI;MASCULINO;44;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;20;PLATZI
ANTIOQUIA;BELLO;MASCULINO;27;DATACAMP
ANTIOQUIA;CALDAS;MASCULINO;29;UDACITY
ANTIOQUIA;ITAGUI;FEMENINO;18;MICROSOFT AZURE
CUNDINAMARCA;FUSAGASUGA;MASCULINO;40;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;41;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;38;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;38;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;38;UDACITY
ANTIOQUIA;MEDELLIN;FEMENINO;28;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;28;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;28;COURSERA
ANTIOQUIA;BELLO;MASCULINO;34;COURSERA
ANTIOQUIA;BELLO;MASCULINO;34;COURSERA
CUNDINAMARCA;TOCANCIPA;MASCULINO;40;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;31;COURSERA
